"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cnih2",6.90650523245047e-37,0.572086658144734,0.394,0.07,1.15407702434247e-32
"Cd3g",1.95857900479441e-36,0.543279026630984,0.996,0.983,3.27278551701147e-32
"Dock5",9.49488180964927e-33,0.498962060235754,0.799,0.438,1.58659475039239e-28
"Nedd9",1.01069449407245e-32,0.557403113201157,1,0.899,1.68887049959507e-28
"Snx18",1.54317732647533e-32,0.643993489401058,0.829,0.51,2.57864931254028e-28
"Klra5",2.97901831598837e-32,1.1189923631619,0.663,0.308,4.97793960601657e-28
"Sh3kbp1",3.33654135498063e-32,-0.841122124471654,0.211,0.521,5.57536060417262e-28
"Itga1",4.16865075555113e-31,0.613516481723404,0.865,0.564,6.96581541252594e-27
"Tsga10",8.6548642970655e-30,0.557463268159368,0.59,0.241,1.44622782403965e-25
"Htra3",1.17230673939551e-29,0.545602911573169,0.333,0.061,1.95892456152989e-25
"Rnf180",2.53449922071119e-29,0.786829997756493,0.404,0.103,4.2351481978084e-25
"Tmem273",1.42564707173085e-28,0.481185334815075,0.819,0.492,2.38225625686225e-24
"Prf1",3.20003854826218e-28,0.664937095006908,0.624,0.285,5.3472644141461e-24
"Itih5",3.42503423987054e-28,0.488950863533229,0.851,0.541,5.72323221482367e-24
"Il12rb2",1.24687228703505e-27,0.489186293174114,0.789,0.459,2.08352359163556e-23
"Glis1",2.56434472567104e-27,0.921119652559926,0.414,0.118,4.28502003659631e-23
"Fcgr3",3.16523838763247e-27,0.447791696229144,0.317,0.061,5.28911334573386e-23
"Emid1",6.75029889844141e-27,0.594004804444268,0.743,0.418,1.12797494592956e-22
"Sft2d2",7.14682289586299e-27,0.52842445324366,0.743,0.416,1.19423410589871e-22
"Ubash3a",1.41849081895679e-26,-0.55886295299358,0.102,0.361,2.37029815847679e-22
"Pik3cb",1.60355936013705e-26,0.47364211709208,0.488,0.175,2.67954769078901e-22
"Pag1",1.70159775967452e-26,0.631862486838184,0.566,0.239,2.84336985641612e-22
